year,state,county,poverty_percent,med_income,unemployment_rate
2020,Alabama,Autauga County,11.2,67565,4.9
2020,Alabama,Baldwin County,8.9,71135,5.6
2020,Alabama,Barbour County,25.5,38866,7
2020,Alabama,Bibb County,17.8,50907,6.6
2020,Alabama,Blount County,13.1,55203,4.1
2020,Alabama,Bullock County,30.8,33124,5.5
2020,Alabama,Butler County,20.6,42268,8.8
2020,Alabama,Calhoun County,14.5,50259,7.1
2020,Alabama,Chambers County,16.3,39318,6.8
2020,Alabama,Cherokee County,14.7,50388,4.6
2020,Alabama,Chilton County,13.9,52693,5
2020,Alabama,Choctaw County,20.4,41649,6.7
2020,Alabama,Clarke County,19.5,44178,9
2020,Alabama,Clay County,14.2,44763,4
2020,Alabama,Cleburne County,14.2,50134,4.6
2020,Alabama,Coffee County,13.9,54203,4.4
2020,Alabama,Colbert County,14.4,54185,6.6
2020,Alabama,Conecuh County,22.9,34664,7.3
2020,Alabama,Coosa County,17.4,46509,5.5
2020,Alabama,Covington County,17.1,43544,4.9
2020,Alabama,Crenshaw County,16.8,45927,5.7
2020,Alabama,Cullman County,12.5,51844,4.3
2020,Alabama,Dale County,15.5,48493,4.9
2020,Alabama,Dallas County,26.7,37679,10.7
2020,Alabama,DeKalb County,15.2,47156,4.5
2020,Alabama,Elmore County,11.5,62524,4.9
2020,Alabama,Escambia County,20.4,41212,6
2020,Alabama,Etowah County,15.6,47872,7.7
2020,Alabama,Fayette County,16.5,45937,5
2020,Alabama,Franklin County,17.2,40448,4.4
2020,Alabama,Geneva County,21.0,39882,4.1
2020,Alabama,Greene County,27.9,33609,10.9
2020,Alabama,Hale County,21.9,41836,9.4
2020,Alabama,Henry County,16.2,51126,4.8
2020,Alabama,Houston County,14.8,54391,5.4
2020,Alabama,Jackson County,15.3,46606,5.3
2020,Alabama,Jefferson County,14.4,57802,6.2
2020,Alabama,Lamar County,17.4,40204,4.9
2020,Alabama,Lauderdale County,13.9,52293,5.5
2020,Alabama,Lawrence County,15.4,48924,4.9
2020,Alabama,Lee County,17.9,58963,5.2
2020,Alabama,Limestone County,10.4,70850,4.3
2020,Alabama,Lowndes County,21.9,37499,13.3
2020,Alabama,Macon County,27.9,37736,9.6
2020,Alabama,Madison County,10.5,67810,4.6
2020,Alabama,Marengo County,18.3,43198,6.2
2020,Alabama,Marion County,16.8,44333,5.1
2020,Alabama,Marshall County,15.4,51417,4.2
2020,Alabama,Mobile County,17.6,50871,7.9
2020,Alabama,Monroe County,22.5,38812,8.2
2020,Alabama,Montgomery County,20.4,49607,7.8
2020,Alabama,Morgan County,14.4,55688,4.5
2020,Alabama,Perry County,30.7,33712,10.9
2020,Alabama,Pickens County,22.7,41870,6.5
2020,Alabama,Pike County,19.7,43141,4.9
2020,Alabama,Randolph County,17.5,46679,4.7
2020,Alabama,Russell County,20.3,40821,5.1
2020,Alabama,St. Clair County,10.5,61973,4.9
2020,Alabama,Shelby County,7.0,88444,3.9
2020,Alabama,Sumter County,29.2,32275,7
2020,Alabama,Talladega County,16.9,44802,7
2020,Alabama,Tallapoosa County,15.2,46654,6.9
2020,Alabama,Tuscaloosa County,14.4,56610,6.6
2020,Alabama,Walker County,16.4,46519,5.8
2020,Alabama,Washington County,17.5,36346,8
2020,Alabama,Wilcox County,22.2,31909,14.7
2020,Alabama,Winston County,17.4,46453,4.7
2020,Alaska,Aleutians East Borough,15.1,79128,4
2020,Alaska,Aleutians West Census Area,8.1,92216,4.5
2020,Alaska,Anchorage Borough,8.3,84577,7.4
2020,Alaska,Bethel Census Area,25.3,52214,11.6
2020,Alaska,Bristol Bay Borough,10.7,87032,7.4
2020,Alaska,Denali Borough,6.4,80192,15.7
2020,Alaska,Dillingham Census Area,18.7,72334,8.2
2020,Alaska,Fairbanks North Star Borough,7.2,76650,6.4
2020,Alaska,Haines Borough,9.6,105044,15.6
2020,Alaska,Hoonah-Angoon Census Area,12.7,55593,13.5
2020,Alaska,Juneau Borough,8.1,89204,6.6
2020,Alaska,Kenai Peninsula Borough,10.6,68448,9.1
2020,Alaska,Ketchikan Gateway Borough,8.3,76780,9.6
2020,Alaska,Kodiak Island Borough,7.5,72028,6.2
2020,Alaska,Kusilvak Census Area,27.9,37566,19.4
2020,Alaska,Lake and Peninsula Borough,17.6,54386,9.4
2020,Alaska,Matanuska-Susitna Borough,8.7,89502,8.3
2020,Alaska,Nome Census Area,18.8,64309,10.5
2020,Alaska,North Slope Borough,11.1,94759,5.9
2020,Alaska,Northwest Arctic Borough,18.5,65194,12
2020,Alaska,Petersburg Borough,7.4,66096,8.7
2020,Alaska,Prince of Wales-Hyder Census Area,15.9,53638,9.2
2020,Alaska,Sitka Borough,7.4,79363,6.9
2020,Alaska,Skagway Municipality,3.8,78421,21.5
2020,Alaska,Southeast Fairbanks Census Area,11.7,64544,7.4
2020,Alaska,Valdez-Cordova Census Area,7.82,79867,8.7
2020,Alaska,Wrangell City and Borough,10.6,64643,8.4
2020,Alaska,Yakutat Borough,12.4,68352,8.5
2020,Alaska,Yukon-Koyukuk Census Area,20.5,43060,12.1
2020,Arizona,Apache County,32.4,36319,12.8
2020,Arizona,Cochise County,14.6,51171,7
2020,Arizona,Coconino County,17.2,57146,9.7
2020,Arizona,Gila County,16.7,49280,7.7
2020,Arizona,Graham County,15.2,55419,6.3
2020,Arizona,Greenlee County,8.4,67530,5.5
2020,Arizona,La Paz County,20.8,41637,7.1
2020,Arizona,Maricopa County,11.6,71799,7.4
2020,Arizona,Mohave County,15.3,46678,10
2020,Arizona,Navajo County,23.3,46698,10.1
2020,Arizona,Pima County,14.9,56551,7.7
2020,Arizona,Pinal County,11.1,66992,7.5
2020,Arizona,Santa Cruz County,16.8,44402,11.4
2020,Arizona,Yavapai County,10.8,58860,7.5
2020,Arizona,Yuma County,15.2,54278,17.1
2020,Arkansas,Arkansas County,17.2,51186,4
2020,Arkansas,Ashley County,17.1,44677,9.3
2020,Arkansas,Baxter County,14.4,44833,5.9
2020,Arkansas,Benton County,9.1,78678,4.5
2020,Arkansas,Boone County,14.1,48153,5.3
2020,Arkansas,Bradley County,20.6,41578,5.8
2020,Arkansas,Calhoun County,16.2,50865,5.2
2020,Arkansas,Carroll County,14.1,45397,5.7
2020,Arkansas,Chicot County,26.8,35992,10.3
2020,Arkansas,Clark County,20.1,46464,5.9
2020,Arkansas,Clay County,18.1,43723,6
2020,Arkansas,Cleburne County,14.5,49964,7.6
2020,Arkansas,Cleveland County,13.8,57697,6.1
2020,Arkansas,Columbia County,18.3,44925,6.8
2020,Arkansas,Conway County,15.8,47049,6
2020,Arkansas,Craighead County,16.8,51797,5.3
2020,Arkansas,Crawford County,14.4,54534,5.4
2020,Arkansas,Crittenden County,22.9,47545,8.3
2020,Arkansas,Cross County,21.2,40587,6.1
2020,Arkansas,Dallas County,19.5,34649,5.3
2020,Arkansas,Desha County,22.8,37421,7
2020,Arkansas,Drew County,18.4,46787,6.9
2020,Arkansas,Faulkner County,12.0,57367,5.4
2020,Arkansas,Franklin County,15.3,47256,5.6
2020,Arkansas,Fulton County,17.0,39839,5.1
2020,Arkansas,Garland County,15.7,46459,8
2020,Arkansas,Grant County,9.9,62077,5.2
2020,Arkansas,Greene County,17.1,53821,6
2020,Arkansas,Hempstead County,18.7,42790,5.2
2020,Arkansas,Hot Spring County,14.9,49582,5.8
2020,Arkansas,Howard County,16.7,40566,5
2020,Arkansas,Independence County,15.0,50834,5.8
2020,Arkansas,Izard County,20.1,41787,8.4
2020,Arkansas,Jackson County,23.1,40789,7.1
2020,Arkansas,Jefferson County,18.9,40588,8
2020,Arkansas,Johnson County,17.3,39439,6.3
2020,Arkansas,Lafayette County,19.8,40007,7.6
2020,Arkansas,Lawrence County,19.2,41188,6.1
2020,Arkansas,Lee County,36.8,32502,7.5
2020,Arkansas,Lincoln County,23.6,47903,6
2020,Arkansas,Little River County,16.2,47125,6.4
2020,Arkansas,Logan County,15.8,43577,6.6
2020,Arkansas,Lonoke County,10.9,59623,5.5
2020,Arkansas,Madison County,16.9,45144,3.9
2020,Arkansas,Marion County,19.1,39888,6.4
2020,Arkansas,Miller County,19.2,43634,6.9
2020,Arkansas,Mississippi County,21.0,47892,9
2020,Arkansas,Monroe County,23.8,35833,6.7
2020,Arkansas,Montgomery County,18.8,42751,6.8
2020,Arkansas,Nevada County,19.1,41854,5.9
2020,Arkansas,Newton County,18.7,40698,5
2020,Arkansas,Ouachita County,20.5,46374,6
2020,Arkansas,Perry County,14.7,46317,5.5
2020,Arkansas,Phillips County,22.1,35167,9.1
2020,Arkansas,Pike County,18.6,43133,5.9
2020,Arkansas,Poinsett County,21.2,36150,5.5
2020,Arkansas,Polk County,18.1,42915,6.6
2020,Arkansas,Pope County,14.1,46350,5.9
2020,Arkansas,Prairie County,14.5,48478,5.3
2020,Arkansas,Pulaski County,15.3,56171,7.4
2020,Arkansas,Randolph County,16.3,46495,5.9
2020,Arkansas,St. Francis County,30.1,37759,7.9
2020,Arkansas,Saline County,8.2,70550,5.1
2020,Arkansas,Scott County,17.5,41230,4.5
2020,Arkansas,Searcy County,22.3,33814,6.4
2020,Arkansas,Sebastian County,16.8,48627,6
2020,Arkansas,Sevier County,16.7,45838,5.8
2020,Arkansas,Sharp County,18.1,40437,7.1
2020,Arkansas,Stone County,20.1,36148,7.1
2020,Arkansas,Union County,16.9,47857,8.3
2020,Arkansas,Van Buren County,16.4,42345,7.1
2020,Arkansas,Washington County,13.2,57712,4.6
2020,Arkansas,White County,14.8,43765,6.2
2020,Arkansas,Woodruff County,22.6,37634,5.8
2020,Arkansas,Yell County,14.3,48728,5.1
2020,California,Alameda County,8.6,113518,8.8
2020,California,Alpine County,14.3,64542,11.2
2020,California,Amador County,10.3,68141,9.1
2020,California,Butte County,17.3,54718,9.2
2020,California,Calaveras County,11.6,66329,7.6
2020,California,Colusa County,10.3,59422,16
2020,California,Contra Costa County,7.2,106484,8.9
2020,California,Del Norte County,18.5,47442,9.5
2020,California,El Dorado County,8.4,87792,8.3
2020,California,Fresno County,17.1,61401,11.3
2020,California,Glenn County,12.4,57779,8.9
2020,California,Humboldt County,15.8,56071,8.4
2020,California,Imperial County,18.1,47599,22.5
2020,California,Inyo County,10.9,55981,7.8
2020,California,Kern County,18.3,58583,12.5
2020,California,Kings County,14.5,60319,11.6
2020,California,Lake County,15.9,52345,9.6
2020,California,Lassen County,15.5,63803,7.1
2020,California,Los Angeles County,13.2,75624,12.8
2020,California,Madera County,14.1,68744,10.8
2020,California,Marin County,6.0,127601,6.7
2020,California,Mariposa County,13.3,56887,10.9
2020,California,Mendocino County,14.3,53176,8.9
2020,California,Merced County,16.3,58998,12.2
2020,California,Modoc County,17.9,46838,8.5
2020,California,Mono County,9.0,73204,11.8
2020,California,Monterey County,11.6,85031,10.8
2020,California,Napa County,7.9,92149,8.7
2020,California,Nevada County,9.2,74158,8
2020,California,Orange County,9.0,98786,8.8
2020,California,Placer County,6.5,100662,7.3
2020,California,Plumas County,13.5,58489,10.7
2020,California,Riverside County,11.2,76409,9.9
2020,California,Sacramento County,12.5,72953,9.3
2020,California,San Benito County,7.9,91185,9.9
2020,California,San Bernardino County,14.3,65984,9.4
2020,California,San Diego County,9.5,87126,9.2
2020,California,San Francisco County,10.0,121722,7.8
2020,California,San Joaquin County,13.9,70685,11.3
2020,California,San Luis Obispo County,10.6,79455,7.7
2020,California,San Mateo County,5.5,132369,6.9
2020,California,Santa Barbara County,10.5,86136,8
2020,California,Santa Clara County,6.6,139462,7
2020,California,Santa Cruz County,10.7,93015,9.5
2020,California,Shasta County,13.9,59108,8.7
2020,California,Sierra County,11.5,59422,8
2020,California,Siskiyou County,14.3,49441,9.7
2020,California,Solano County,9.3,83678,9.5
2020,California,Sonoma County,7.8,87366,7.9
2020,California,Stanislaus County,13.0,64501,10.7
2020,California,Sutter County,11.5,65791,11
2020,California,Tehama County,13.3,61571,8.8
2020,California,Trinity County,18.0,45113,8
2020,California,Tulare County,17.1,62058,13.2
2020,California,Tuolumne County,12.1,63336,10.4
2020,California,Ventura County,9.1,90961,8.6
2020,California,Yolo County,14.8,80668,7.5
2020,California,Yuba County,16.3,56278,10.5
2020,Colorado,Adams County,9.4,73615,8
2020,Colorado,Alamosa County,16.7,50390,6.4
2020,Colorado,Arapahoe County,7.0,82381,7.9
2020,Colorado,Archuleta County,9.4,63961,7.6
2020,Colorado,Baca County,16.9,42531,2.3
2020,Colorado,Bent County,26.6,50688,4.4
2020,Colorado,Boulder County,9.5,88289,6.2
2020,Colorado,Broomfield County,4.2,106263,6.6
2020,Colorado,Chaffee County,9.6,64220,6.3
2020,Colorado,Cheyenne County,12.3,56383,2.4
2020,Colorado,Clear Creek County,7.3,79422,8.5
2020,Colorado,Conejos County,17.6,39822,5.6
2020,Colorado,Costilla County,21.8,35639,7.2
2020,Colorado,Crowley County,37.2,36836,5.4
2020,Colorado,Custer County,12.2,60485,5
2020,Colorado,Delta County,12.1,53553,6.6
2020,Colorado,Denver County,12.4,75355,8.2
2020,Colorado,Dolores County,12.5,50821,6.9
2020,Colorado,Douglas County,3.0,122290,5.8
2020,Colorado,Eagle County,6.4,94309,9.5
2020,Colorado,Elbert County,4.8,107139,4.7
2020,Colorado,El Paso County,9.1,72459,7.3
2020,Colorado,Fremont County,15.2,52414,7.7
2020,Colorado,Garfield County,6.7,79958,6.8
2020,Colorado,Gilpin County,6.6,79622,11.3
2020,Colorado,Grand County,6.8,74484,8.4
2020,Colorado,Gunnison County,9.6,68214,6.6
2020,Colorado,Hinsdale County,7.2,63034,4.2
2020,Colorado,Huerfano County,19.9,49502,9.4
2020,Colorado,Jackson County,11.6,55430,4.3
2020,Colorado,Jefferson County,6.1,90097,7.1
2020,Colorado,Kiowa County,12.0,49179,2.3
2020,Colorado,Kit Carson County,10.8,54642,2.8
2020,Colorado,Lake County,10.6,61518,8.2
2020,Colorado,La Plata County,10.0,66080,6.8
2020,Colorado,Larimer County,9.9,80344,6.3
2020,Colorado,Las Animas County,16.4,46281,7.4
2020,Colorado,Lincoln County,15.6,50169,4.5
2020,Colorado,Logan County,13.1,55717,4.7
2020,Colorado,Mesa County,11.1,64141,7.5
2020,Colorado,Mineral County,8.7,58004,5.8
2020,Colorado,Moffat County,9.9,63128,6
2020,Colorado,Montezuma County,12.9,54053,7.1
2020,Colorado,Montrose County,10.4,59764,6.6
2020,Colorado,Morgan County,10.5,63297,5.4
2020,Colorado,Otero County,17.6,46235,6.2
2020,Colorado,Ouray County,6.7,74492,8.1
2020,Colorado,Park County,7.8,77598,5.7
2020,Colorado,Phillips County,10.2,57385,2.7
2020,Colorado,Pitkin County,6.4,93634,10.5
2020,Colorado,Prowers County,16.2,47463,4.4
2020,Colorado,Pueblo County,14.1,50885,8.2
2020,Colorado,Rio Blanco County,9.8,64039,5.4
2020,Colorado,Rio Grande County,13.3,51416,7.1
2020,Colorado,Routt County,6.3,82330,7.9
2020,Colorado,Saguache County,18.6,56012,7
2020,Colorado,San Juan County,11.3,54387,6.7
2020,Colorado,San Miguel County,7.6,77099,10.9
2020,Colorado,Sedgwick County,13.2,43354,3.4
2020,Colorado,Summit County,6.1,91079,9.8
2020,Colorado,Teller County,7.3,62845,7.5
2020,Colorado,Washington County,11.8,59174,3.1
2020,Colorado,Weld County,8.9,77937,7
2020,Colorado,Yuma County,11.5,82124,2.8
2020,Connecticut,Fairfield County,8.8,98828,7.9
2020,Connecticut,Hartford County,10.7,73476,8.1
2020,Connecticut,Litchfield County,7.4,79512,6.9
2020,Connecticut,Middlesex County,7.7,89970,6.5
2020,Connecticut,New Haven County,11.2,72517,8
2020,Connecticut,New London County,8.0,77202,9.6
2020,Connecticut,Tolland County,6.9,87247,6.2
2020,Connecticut,Windham County,10.4,66349,7.8
2020,Delaware,Kent County,13.0,61538,8.6
2020,Delaware,New Castle County,10.1,75145,7.7
2020,Delaware,Sussex County,11.0,69829,7.5
2020,District of Columbia,District of Columbia,15.0,91957,8
2020,Florida,Alachua County,17.2,51995,5.4
2020,Florida,Baker County,12.8,61514,4.9
2020,Florida,Bay County,12.4,61332,6.1
2020,Florida,Bradford County,17.5,48260,5.9
2020,Florida,Brevard County,9.9,65871,6.6
2020,Florida,Broward County,11.0,63901,8.8
2020,Florida,Calhoun County,20.3,43994,5.2
2020,Florida,Charlotte County,9.8,58368,7.3
2020,Florida,Citrus County,12.6,48574,8.4
2020,Florida,Clay County,8.9,72520,5.4
2020,Florida,Collier County,10.1,81895,6.9
2020,Florida,Columbia County,15.6,46670,5.8
2020,Florida,DeSoto County,20.8,45807,5.2
2020,Florida,Dixie County,23.2,41450,5.5
2020,Florida,Duval County,15.2,55202,6.7
2020,Florida,Escambia County,13.5,57089,6.7
2020,Florida,Flagler County,9.4,67054,7.6
2020,Florida,Franklin County,19.1,47206,5.4
2020,Florida,Gadsden County,21.9,42698,6.8
2020,Florida,Gilchrist County,14.5,52000,4.9
2020,Florida,Glades County,18.1,45328,5.6
2020,Florida,Gulf County,15.1,51593,5.9
2020,Florida,Hamilton County,24.2,41871,7.6
2020,Florida,Hardee County,21.2,46264,6.5
2020,Florida,Hendry County,22.9,45652,8.1
2020,Florida,Hernando County,12.5,52108,8.1
2020,Florida,Highlands County,16.1,48922,7.7
2020,Florida,Hillsborough County,11.9,65272,7.1
2020,Florida,Holmes County,20.5,41969,5.5
2020,Florida,Indian River County,8.7,72934,7.4
2020,Florida,Jackson County,19.5,44108,5.4
2020,Florida,Jefferson County,17.2,54354,5.6
2020,Florida,Lafayette County,20.7,41635,4.2
2020,Florida,Lake County,9.2,58501,8.9
2020,Florida,Lee County,10.5,66140,7.3
2020,Florida,Leon County,17.6,61403,5.8
2020,Florida,Levy County,16.9,41894,6
2020,Florida,Liberty County,21.2,46734,4.8
2020,Florida,Madison County,23.8,41650,6
2020,Florida,Manatee County,10.9,63328,6.8
2020,Florida,Marion County,15.3,48553,7
2020,Florida,Martin County,11.1,72736,6.1
2020,Florida,Miami-Dade County,15.0,59259,8
2020,Florida,Monroe County,10.2,68584,7.9
2020,Florida,Nassau County,8.1,75123,5.7
2020,Florida,Okaloosa County,9.6,65977,5.5
2020,Florida,Okeechobee County,17.7,48028,5.4
2020,Florida,Orange County,12.7,69074,10.6
2020,Florida,Osceola County,11.8,63018,13.5
2020,Florida,Palm Beach County,12.0,68200,7.6
2020,Florida,Pasco County,11.4,52332,7.2
2020,Florida,Pinellas County,11.1,61532,7
2020,Florida,Polk County,14.4,54591,9
2020,Florida,Putnam County,24.3,36527,7.9
2020,Florida,St. Johns County,8.1,94343,5.3
2020,Florida,St. Lucie County,13.8,59023,7.8
2020,Florida,Santa Rosa County,9.4,71583,5.2
2020,Florida,Sarasota County,8.7,66138,6.8
2020,Florida,Seminole County,8.0,71930,7.2
2020,Florida,Sumter County,12.3,60278,7.9
2020,Florida,Suwannee County,17.7,46264,5.6
2020,Florida,Taylor County,19.3,45527,6.2
2020,Florida,Union County,20.7,49313,4.7
2020,Florida,Volusia County,11.6,55463,7.6
2020,Florida,Wakulla County,10.3,64671,4.5
2020,Florida,Walton County,11.4,74108,5.9
2020,Florida,Washington County,20.4,44661,5.8
2020,Georgia,Appling County,19.9,44871,4.7
2020,Georgia,Atkinson County,21.6,39633,3.9
2020,Georgia,Bacon County,21.1,41756,4.9
2020,Georgia,Baker County,23.7,43696,6
2020,Georgia,Baldwin County,22.6,49350,6.9
2020,Georgia,Banks County,11.6,62836,4.3
2020,Georgia,Barrow County,10.1,64460,5.1
2020,Georgia,Bartow County,10.2,64980,6.2
2020,Georgia,Ben Hill County,22.3,39305,6.9
2020,Georgia,Berrien County,18.9,45094,5.8
2020,Georgia,Bibb County,28.0,44467,7.5
2020,Georgia,Bleckley County,18.5,51448,6.5
2020,Georgia,Brantley County,17.8,39256,5.4
2020,Georgia,Brooks County,20.6,42973,5.2
2020,Georgia,Bryan County,8.0,81890,5.3
2020,Georgia,Bulloch County,20.7,48629,6.5
2020,Georgia,Burke County,20.0,44870,7.2
2020,Georgia,Butts County,20.8,52720,6.2
2020,Georgia,Calhoun County,34.4,37984,5.1
2020,Georgia,Camden County,9.4,67525,4.7
2020,Georgia,Candler County,20.1,42583,4.4
2020,Georgia,Carroll County,16.8,64554,6.4
2020,Georgia,Catoosa County,10.1,61906,4.3
2020,Georgia,Charlton County,25.5,46061,3.8
2020,Georgia,Chatham County,15.6,56357,7.6
2020,Georgia,Chattahoochee County,15.6,51811,6.2
2020,Georgia,Chattooga County,18.8,44399,8.4
2020,Georgia,Cherokee County,6.7,90675,4.9
2020,Georgia,Clarke County,24.6,46693,6.4
2020,Georgia,Clay County,24.1,35937,12.4
2020,Georgia,Clayton County,16.8,49370,10.3
2020,Georgia,Clinch County,20.4,43088,4
2020,Georgia,Cobb County,9.2,81517,5.9
2020,Georgia,Coffee County,23.1,44520,5.8
2020,Georgia,Colquitt County,20.4,41673,4.5
2020,Georgia,Columbia County,6.7,87489,4.2
2020,Georgia,Cook County,19.5,35225,4.7
2020,Georgia,Coweta County,8.6,84121,6.2
2020,Georgia,Crawford County,16.1,48184,5
2020,Georgia,Crisp County,24.5,36871,7.9
2020,Georgia,Dade County,13.0,41069,4.1
2020,Georgia,Dawson County,8.7,75081,4.7
2020,Georgia,Decatur County,25.6,42996,4.8
2020,Georgia,DeKalb County,15.8,69545,8
2020,Georgia,Dodge County,21.4,42683,6
2020,Georgia,Dooly County,27.0,45112,7.7
2020,Georgia,Dougherty County,27.4,40793,8.6
2020,Georgia,Douglas County,11.5,65269,7.4
2020,Georgia,Early County,24.0,39697,5.8
2020,Georgia,Echols County,20.6,45378,3.9
2020,Georgia,Effingham County,8.1,77690,5
2020,Georgia,Elbert County,23.8,43553,6.9
2020,Georgia,Emanuel County,26.4,36243,7.1
2020,Georgia,Evans County,19.6,51018,5.1
2020,Georgia,Fannin County,15.6,44730,4.7
2020,Georgia,Fayette County,5.3,98623,5.4
2020,Georgia,Floyd County,18.4,47423,6.3
2020,Georgia,Forsyth County,5.1,116690,4.6
2020,Georgia,Franklin County,16.3,47706,5.9
2020,Georgia,Fulton County,13.0,71504,8
2020,Georgia,Gilmer County,14.0,66066,4.7
2020,Georgia,Glascock County,15.5,50800,4.1
2020,Georgia,Glynn County,15.5,59286,6.8
2020,Georgia,Gordon County,11.8,54915,5.5
2020,Georgia,Grady County,18.7,54601,4.4
2020,Georgia,Greene County,15.3,61857,5.9
2020,Georgia,Gwinnett County,10.4,73460,6.3
2020,Georgia,Habersham County,13.7,61071,5.4
2020,Georgia,Hall County,12.7,67735,4.7
2020,Georgia,Hancock County,30.7,36424,8.8
2020,Georgia,Haralson County,15.5,51431,5.9
2020,Georgia,Harris County,9.0,81151,4.6
2020,Georgia,Hart County,14.4,52401,5.4
2020,Georgia,Heard County,16.4,51532,6.5
2020,Georgia,Henry County,8.7,69620,7.4
2020,Georgia,Houston County,10.8,69442,5.2
2020,Georgia,Irwin County,20.9,47492,5.5
2020,Georgia,Jackson County,9.1,70960,4.4
2020,Georgia,Jasper County,14.0,57796,4.9
2020,Georgia,Jeff Davis County,20.0,44417,5.1
2020,Georgia,Jefferson County,21.1,40333,6.7
2020,Georgia,Jenkins County,28.0,38306,6.3
2020,Georgia,Johnson County,25.9,36358,4.9
2020,Georgia,Jones County,11.6,64812,4.6
2020,Georgia,Lamar County,13.8,55024,6.3
2020,Georgia,Lanier County,19.6,35215,5.2
2020,Georgia,Laurens County,20.7,46690,6.7
2020,Georgia,Lee County,10.1,74640,4.6
2020,Georgia,Liberty County,14.7,49788,6.2
2020,Georgia,Lincoln County,16.5,47883,5.4
2020,Georgia,Long County,16.7,53841,4.4
2020,Georgia,Lowndes County,20.3,48864,6
2020,Georgia,Lumpkin County,12.5,63822,4.8
2020,Georgia,McDuffie County,16.7,48392,7.8
2020,Georgia,McIntosh County,19.9,48097,5.7
2020,Georgia,Macon County,31.1,35997,6.7
2020,Georgia,Madison County,14.5,50619,5.2
2020,Georgia,Marion County,20.6,46792,5.1
2020,Georgia,Meriwether County,22.1,45095,8.6
2020,Georgia,Miller County,19.8,51855,4
2020,Georgia,Mitchell County,38.2,38256,6.5
2020,Georgia,Monroe County,12.8,65599,5.1
2020,Georgia,Montgomery County,19.3,47074,5.4
2020,Georgia,Morgan County,11.6,68343,5.4
2020,Georgia,Murray County,15.9,58761,7.6
2020,Georgia,Muscogee County,21.1,44959,7.8
2020,Georgia,Newton County,14.4,62183,7.1
2020,Georgia,Oconee County,6.0,104519,3.8
2020,Georgia,Oglethorpe County,13.4,55678,4.8
2020,Georgia,Paulding County,7.3,77755,5.4
2020,Georgia,Peach County,19.2,51531,6.2
2020,Georgia,Pickens County,10.5,69781,4.8
2020,Georgia,Pierce County,16.5,51696,4.5
2020,Georgia,Pike County,10.1,64986,5
2020,Georgia,Polk County,16.3,51040,6
2020,Georgia,Pulaski County,20.4,44019,4.5
2020,Georgia,Putnam County,16.3,56104,6.6
2020,Georgia,Quitman County,23.1,37735,6.5
2020,Georgia,Rabun County,13.8,53038,5.3
2020,Georgia,Randolph County,27.4,36064,5.9
2020,Georgia,Richmond County,25.5,43942,7.6
2020,Georgia,Rockdale County,12.7,61332,7.6
2020,Georgia,Schley County,15.0,53163,4.3
2020,Georgia,Screven County,20.7,44061,8.2
2020,Georgia,Seminole County,22.9,41778,5
2020,Georgia,Spalding County,17.9,51019,7.6
2020,Georgia,Stephens County,16.9,46626,6.4
2020,Georgia,Stewart County,31.3,40205,5.7
2020,Georgia,Sumter County,24.3,42653,7.4
2020,Georgia,Talbot County,20.8,44458,6.9
2020,Georgia,Taliaferro County,23.2,28004,7.2
2020,Georgia,Tattnall County,20.7,45191,4.3
2020,Georgia,Taylor County,23.2,38783,6.7
2020,Georgia,Telfair County,29.9,38161,9.9
2020,Georgia,Terrell County,27.8,39433,7.5
2020,Georgia,Thomas County,16.2,57969,6.2
2020,Georgia,Tift County,20.5,45093,5.1
2020,Georgia,Toombs County,22.2,42165,6.6
2020,Georgia,Towns County,13.2,43640,6.7
2020,Georgia,Treutlen County,23.4,40834,6
2020,Georgia,Troup County,16.4,51799,7.3
2020,Georgia,Turner County,22.2,46042,7.2
2020,Georgia,Twiggs County,20.0,46444,7.4
2020,Georgia,Union County,12.9,50653,4.4
2020,Georgia,Upson County,15.2,48233,6.6
2020,Georgia,Walker County,14.1,49388,4.9
2020,Georgia,Walton County,11.4,71390,5.4
2020,Georgia,Ware County,26.0,39994,5.6
2020,Georgia,Warren County,23.4,40422,6.8
2020,Georgia,Washington County,21.3,43309,6.4
2020,Georgia,Wayne County,19.7,48885,5.6
2020,Georgia,Webster County,18.6,45381,5.7
2020,Georgia,Wheeler County,35.6,36671,7.2
2020,Georgia,White County,12.5,58831,4.4
2020,Georgia,Whitfield County,13.0,56249,7.3
2020,Georgia,Wilcox County,27.9,40856,5.7
2020,Georgia,Wilkes County,20.2,42071,6.7
2020,Georgia,Wilkinson County,20.1,44068,5.4
2020,Georgia,Worth County,18.2,47907,5.4
2020,Hawaii,Hawaii County,12.2,70313,11.4
2020,Hawaii,Honolulu County,8.0,89584,10.2
2020,Hawaii,Kauai County,9.9,80517,16.2
2020,Hawaii,Maui County,9.5,80763,17.8
2020,Idaho,Ada County,7.7,73324,5.4
2020,Idaho,Adams County,13.7,49967,9.3
2020,Idaho,Bannock County,12.2,54538,4.9
2020,Idaho,Bear Lake County,9.5,55689,4.2
2020,Idaho,Benewah County,12.5,53014,7.5
2020,Idaho,Bingham County,11.1,65658,3.9
2020,Idaho,Blaine County,6.9,76301,7.8
2020,Idaho,Boise County,11.5,55583,8
2020,Idaho,Bonner County,12.6,55241,7.5
2020,Idaho,Bonneville County,9.7,67294,4
2020,Idaho,Boundary County,14.0,52193,6.2
2020,Idaho,Butte County,14.2,52081,3.6
